Chiplet,Lower_Left_Corner,Length,Breadth
C1-1,"(0.0, 0.0)",4,2
C1-2,"(0.0, 2.25)",4,2
C1-3,"(0.0, 4.5)",4,2
C1-4,"(0.0, 6.75)",4,2
C1-5,"(0.0, 9.0)",4,2
C1-6,"(0.0, 11.25)",4,2
C1-7,"(0.0, 13.5)",4,2
C1-8,"(0.0, 15.75)",4,2
C1-9,"(0.0, 18.0)",4,2
C1-10,"(0.0, 20.25)",4,2
C1-11,"(0.0, 22.5)",4,2
C1-12,"(4.5, 0.0)",4,2
C1-13,"(4.5, 2.25)",4,2
C1-14,"(4.5, 4.5)",4,2
C1-15,"(4.5, 6.75)",4,2
C1-16,"(4.5, 9.0)",4,2
C1-17,"(4.5, 11.25)",4,2
C1-18,"(4.5, 13.5)",4,2
C1-19,"(4.5, 15.75)",4,2
C1-20,"(4.5, 18.0)",4,2
C1-21,"(4.5, 20.25)",4,2
C1-22,"(4.5, 22.5)",4,2
C1-23,"(9.0, 0.0)",4,2
C1-24,"(9.0, 2.25)",4,2
C1-25,"(9.0, 4.5)",4,2
C1-26,"(9.0, 6.75)",4,2
C1-27,"(9.0, 9.0)",4,2
C1-28,"(9.0, 11.25)",4,2
C3-1,"(9.0, 13.5)",2,2
C3-2,"(9.0, 15.75)",2,2
C3-3,"(9.0, 18.0)",2,2
C3-4,"(9.0, 20.25)",2,2
C3-5,"(9.0, 22.5)",2,2
C3-6,"(11.25, 13.5)",2,2
C3-7,"(11.25, 15.75)",2,2
C3-8,"(11.25, 18.0)",2,2
C3-9,"(11.25, 20.25)",2,2
C3-10,"(11.25, 22.5)",2,2
C3-11,"(13.5, 0.0)",2,2
C3-12,"(13.5, 2.25)",2,2
C3-13,"(13.5, 4.5)",2,2
C3-14,"(13.5, 6.75)",2,2
C3-15,"(13.5, 9.0)",2,2
C3-16,"(13.5, 11.25)",2,2
C3-17,"(13.5, 13.5)",2,2
C3-18,"(13.5, 15.75)",2,2
C4-1,"(13.5, 18.0)",2,2
C4-2,"(13.5, 20.25)",2,2
C4-3,"(13.5, 22.5)",2,2
C4-4,"(15.75, 0.0)",2,2
C4-5,"(15.75, 2.25)",2,2
C4-6,"(15.75, 4.5)",2,2
C4-7,"(15.75, 6.75)",2,2
C4-8,"(15.75, 9.0)",2,2
C4-9,"(15.75, 11.25)",2,2
C4-10,"(15.75, 13.5)",2,2
C4-11,"(15.75, 15.75)",2,2
C4-12,"(15.75, 18.0)",2,2
C4-13,"(15.75, 20.25)",2,2
C4-14,"(15.75, 22.5)",2,2
C4-15,"(18.0, 0.0)",2,2
C4-16,"(18.0, 2.25)",2,2
C4-17,"(18.0, 4.5)",2,2
C4-18,"(18.0, 6.75)",2,2
C4-19,"(18.0, 9.0)",2,2
C4-20,"(18.0, 11.25)",2,2
C4-21,"(18.0, 13.5)",2,2
C4-22,"(18.0, 15.75)",2,2
C4-23,"(18.0, 18.0)",2,2
C4-24,"(18.0, 20.25)",2,2
C2-1,"(18.0, 22.5)",2,2
C2-2,"(20.25, 0.0)",2,2
C2-3,"(20.25, 2.25)",2,2
C2-4,"(20.25, 4.5)",2,2
C2-5,"(20.25, 6.75)",2,2
C2-6,"(20.25, 9.0)",2,2
C2-7,"(20.25, 11.25)",2,2
C2-8,"(20.25, 13.5)",2,2
C2-9,"(20.25, 15.75)",2,2
C2-10,"(20.25, 18.0)",2,2
C2-11,"(20.25, 20.25)",2,2
C2-12,"(20.25, 22.5)",2,2
